total_sentences,candidate_text,passed_margin_test,candidate_text_lsh,accept_mask,one_sentence,current_num_tries
1,"

As Evan strolled through the vibrant spring festival in Paris, he stumbled upon a quaint coffee shop where Emilie was expertly crafting intricate designs on steaming cups of espresso.",True,0,"7,2",True,1
2,"

As Evan strolled through the vibrant streets of Paris during the spring festival, he stumbled upon a charming café.",True,0,"7,2",True,2
3,"

As the cherry blossoms bloomed along the Seine, Evan strolled through the vibrant Spring Festival in Paris, camera in hand.",True,0,"7,2",True,3
4,"

As the sun shone brightly on the spring festival in Paris, Evan, an American tourist, wandered through the bustling streets of Le Marais, taking in the vibrant atmosphere.",False,,,,4
5,"

As Evan wandered through the vibrant streets of Paris during the spring festival, he stumbled upon a charming café where the aroma of freshly brewed coffee wafted out into the crisp air.",True,0,"7,2",True,5
6,"

As Evan wandered through the vibrant streets of Paris during the spring festival, he stumbled upon a quaint café where the aroma of freshly brewed coffee wafted out into the air.",True,0,"7,2",True,6
7,"

As Evan sipped his coffee at a quaint café on the Île de la Cité, he couldn't help but notice the charming barista with a warm smile, Emilie.",True,1,"7,2",True,7
8,"

As Evan sipped his café au lait at a quaint sidewalk café, he couldn't help but notice the charming barista with the bright smile and sparkling eyes.",True,5,"7,2",True,8
9,"

As Evan sipped his café au lait at a charming sidewalk café in the Latin Quarter, he couldn't help but notice the beautiful barista with bright blue eyes and curly brown hair.",True,5,"7,2",True,9
10,"

As Evan strolled through the vibrant streets of Paris on a sunny spring day, he stumbled upon a charming café amidst the festivities.",False,,,,10
11,"

As Evan strolled through the vibrant streets of Paris during the spring festival, he stumbled upon a quaint café, where the aroma of freshly brewed coffee wafted out, enticing him to enter.",True,0,"7,2",True,11
12,"

Evan strolled through the vibrant streets of Paris on a crisp spring morning, taking in the sweet scent of blooming flowers and freshly brewed coffee wafting from the charming cafes.",True,0,"7,2",True,12
13,"

As Evan strolled through the vibrant streets of Paris during the spring festival, he couldn't help but be captivated by the charming atmosphere.",True,0,"7,2",True,13
14,"

As Evan strolled through the vibrant streets of Paris during the spring festival, he stumbled upon a quaint café, where the aroma of freshly brewed coffee wafted out into the crisp air.",True,0,"7,2",True,14
15,"

As the sun began to set on the spring festival in Paris, Evan strolled through the vibrant streets of the Latin Quarter, camera slung around his neck.",True,0,"7,2",True,15
16,"

As Evan strolled through the vibrant streets of Paris during the spring festival, he couldn't help but be captivated by the charming atmosphere.",True,0,"7,2",True,16
17,"

As Evan wandered through the vibrant stalls of the spring festival in Paris, he stumbled upon a charming café.",True,0,"7,2",True,17
18,"

Evan strolled through the vibrant streets of Paris, taking in the sights and sounds of the spring festival.",True,1,"7,2",True,18
19,"

As the sun shone brightly on the cobblestone streets of Paris, Evan, an American tourist, stumbled upon a quaint café near the bustling spring festival.",True,0,"7,2",True,19
20,"

As Evan wandered through the vibrant streets of Paris during the spring festival, he stumbled upon a charming café near the Seine River.",True,0,"7,2",True,20
21,"

As the sweet scent of blooming flowers wafted through the air, Evan strolled through the vibrant streets of Paris, taking in the sights and sounds of the spring festival.",True,0,"7,2",True,21
22,"

As the sweet scent of blooming flowers filled the air, Evan strolled through the charming streets of Paris, taking in the vibrant atmosphere of the spring festival.",True,0,"7,2",True,22
23,"

As the sun rose over the Eiffel Tower, casting a warm glow over the vibrant spring festival in Paris, Evan's eyes landed on her - Emilie, a charming barista with a bright smile and sparkling eyes.",True,1,"7,2",True,23
24,"

As the cherry blossoms bloomed along the Seine, Evan wandered through the vibrant streets of Paris, soaking up the joie de vivre of the spring festival.",True,0,"7,2",True,24
25,"

As the sun shone brightly on the Spring Festival in Paris, Evan wandered through the bustling streets, taking in the vibrant colors and sounds of the celebration.",True,0,"7,2",True,25
26,"

As Evan strolled through the vibrant spring festival in Paris, he stumbled upon a charming café, where the aroma of freshly brewed coffee drew him in.",True,0,"7,2",True,26
27,"

As the sweet scent of blooming flowers wafted through the air, Evan strolled through the vibrant Spring Festival in Paris.",True,0,"7,2",True,27
28,"

As Evan wandered through the vibrant streets of Paris during the spring festival, he stumbled upon a quaint café that caught his eye.",True,0,"7,2",True,28
29,"

As Evan strolled through the vibrant spring festival in Paris, he couldn't help but feel enchanted by the city's charm.",True,0,"7,2",True,29
30,"

As Evan strolled through the vibrant streets of Paris during the annual Spring Festival, he stumbled upon a quaint café on the corner of Rue Saint-Antoine.",True,0,"7,2",True,30
31,"

Evan strolled through the vibrant streets of Paris, taking in the sights and sounds of the spring festival.",True,1,"7,2",True,31
32,"

As the sun shone brightly on the Eiffel Tower, Evan wandered through the vibrant spring festival in Paris, camera in hand, soaking up the sights and sounds of the City of Light.",True,0,"7,2",True,32
33,"

Evan had always dreamed of visiting Paris in the spring, when the city was in full bloom.",True,0,"7,2",True,33
34,"

As the sun shone brightly on the cobblestone streets of Paris, Evan couldn't help but feel captivated by the city's charming atmosphere.",False,,,,34
35,"

Evan wandered through the vibrant streets of Paris, taking in the sights and sounds of the spring festival.",True,1,"7,2",True,35
36,"

Evan wandered through the vibrant streets of Paris, taking in the sights and sounds of the spring festival.",True,1,"7,2",True,36
37,"

As the Eiffel Tower stood majestically in the background, Evan wandered through the vibrant streets of Paris, soaking up the lively atmosphere of the spring festival.",True,0,"7,2",True,37
38,"

As Evan wandered through the vibrant streets of Paris during the spring festival, he stumbled upon a quaint café, where the aroma of freshly brewed coffee wafted out into the crisp air.",True,0,"7,2",True,38
39,"

As Evan strolled through the vibrant streets of Paris during the spring festival, he couldn't help but feel a sense of wonder.",True,0,"7,2",True,39
40,"

As Evan strolled through the vibrant streets of Paris during the spring festival, he stumbled upon a charming café where the sweet aroma of freshly brewed coffee drew him in.",True,0,"7,2",True,40
41,"

As the spring festival unfolded in the heart of Paris, Evan wandered through the bustling streets, taking in the vibrant atmosphere.",True,0,"7,2",True,41
42,"

Evan strolled through the vibrant streets of Paris, soaking up the joie de vivre of the spring festival.",True,1,"7,2",True,42
43,"

As the sun shone down on the bustling streets of Paris, Evan strolled through the spring festival, taking in the vibrant atmosphere.",True,0,"7,2",True,43
44,"

As Evan wandered through the vibrant stalls of the Spring Festival in Paris, the aroma of freshly brewed coffee wafted through the air, drawing him to a quaint café.",True,0,"7,2",True,44
45,"

As Evan strolled through the charming streets of Paris, taking in the vibrant sights and sounds of the spring festival, he stumbled upon a quaint café where the scent of freshly brewed coffee wafted out into the crisp air.",True,0,"7,2",True,45
46,"

As Evan wandered through the vibrant streets of Paris during the spring festival, he stumbled upon a quaint café tucked away on Rue Saint-Paul.",True,0,"7,2",True,46
47,"

As the Eiffel Tower sparkled behind him, Evan strolled through the vibrant Spring Festival in Paris, camera slung over his shoulder.",True,0,"7,2",True,47
48,"

As Evan strolled through the vibrant streets of Paris during the spring festival, he stumbled upon a quaint café, La Belle Époque, nestled among the charming buildings of the Marais district.",True,1,"7,2",True,48
49,"

As Evan wandered through the vibrant streets of Paris during the spring festival, he stumbled upon a quaint café, where the aroma of freshly brewed coffee drew him in.",True,0,"7,2",True,49
50,"

As Evan wandered through the vibrant streets of Paris during the spring festival, he stumbled upon a quaint café that caught his eye.",True,0,"7,2",True,50
51," The aroma of freshly brewed coffee drew him in, and he couldn't resist introducing himself to the charming barista, Emilie.",True,0,"5,2",True,1
52," Stepping inside, he was immediately drawn to the charming barista, Emilie, with her bright smile and sparkling eyes.",True,0,"5,2",True,2
53," Stepping inside, he was immediately drawn to the charming smile of the barista, Emilie.",True,0,"5,2",True,3
54," Stepping inside, he was immediately drawn to the charming barista, Emilie, with her bright smile and sparkling eyes.",True,0,"5,2",True,4
55," The aroma of freshly brewed coffee drew him in, and he took a seat at the counter.",True,1,"5,2",True,5
56," The aroma of freshly brewed coffee drew him in, and he was immediately smitten with the charming barista, Emilie.",True,0,"5,2",True,6
57," The aroma of freshly brewed coffee drew him in, and he was immediately struck by the charming smile of the barista, Emilie.",True,0,"5,2",True,7
58," The aroma of freshly brewed coffee drew him in, and he was immediately struck by the charming smile of the barista, Emilie.",True,0,"5,2",True,8
59," Stepping inside, he was immediately charmed by the warm atmosphere and enticing aroma of freshly brewed coffee.",True,0,"5,2",True,9
60," The aroma of freshly brewed coffee wafted out, drawing him in like a magnet.",True,2,"5,2",True,10
61," That's where he met Emilie, the charming barista with a bright smile and infectious laugh.",True,0,"5,2",True,1
62," Inside, he was greeted by Emilie, a charming barista with a warm smile.",True,0,"5,2",True,2
63," Inside, he was greeted by Emilie, a bright-eyed barista with a warm smile.

",True,0,"5,2",True,3
64," Inside, he met Emilie, a charming barista with a warm smile.",True,0,"5,2",True,4
65," That's where he met Emilie, the charming barista with a warm smile.",False,,,,5
66," Inside, he met Emilie, a charming barista with a warm smile.",True,0,"5,2",True,6
67," Inside, he was immediately struck by the charming smile of Emilie, the barista.",True,0,"5,2",True,7
68," Inside, he spotted a beautiful barista with a bright smile, Emilie.",True,0,"5,2",True,8
69," Inside, he met Emilie, a charming barista with a bright smile and sparkling eyes.",True,0,"5,2",True,9
70," That's where he met Emilie, the charming barista with a warm smile.

",False,,,,10
71," Inside, he met Emilie, a charming barista with a bright smile and sparkling eyes.",True,0,"5,2",True,11
72," Inside, he was greeted by Emilie, a charming barista with a warm smile.

",True,0,"5,2",True,12
73," Inside, he met Emilie, a charming barista with a bright smile.",True,0,"5,2",True,13
74," Inside, he was greeted by Emilie, a charming barista with bright blue eyes and a warm smile.

",True,0,"5,2",True,14
75," Inside, he met Emilie, a charming barista with a bright smile and sparkling eyes.",True,0,"5,2",True,15
76," That's where he met Emilie, the charming barista with a warm smile.",False,,,,16
77," Inside, he spotted Emilie, a charming barista with a bright smile, expertly crafting a latte art design.

",True,0,"5,2",True,17
78," Inside, he met Emilie, a charming barista with a bright smile and infectious laughter.",True,0,"5,2",True,18
79," Inside, he met Emilie, a charming barista with a warm smile.",True,0,"5,2",True,19
80," Inside, he was greeted by Emilie, a charming barista with a bright smile.",True,0,"5,2",True,20
81," Inside, he met Emilie, a charming barista with bright blue eyes and a warm smile.",True,0,"5,2",True,21
82," That's where he met Emilie, a charming barista with bright blue eyes and a warm smile.",True,0,"5,2",True,22
83," That's where he met Emilie, the charming barista with a bright smile and sparkling eyes.

",True,0,"5,2",True,23
84," That's where he met Emilie, a charming barista with a bright smile and sparkling eyes.",True,0,"5,2",True,24
85," That's where he met Emilie, the charming barista with a warm smile.",False,,,,25
86," Inside, he was immediately charmed by the bright smile of Emilie, the barista.",True,0,"5,2",True,26
87," That's where he met Emilie, the charming barista with a bright smile and sparkling eyes.

",True,0,"5,2",True,27
88," That's where he met Emilie, a charming barista with bright blue eyes and a warm smile.",True,0,"5,2",True,28
89," Inside, he met Emilie, the charming barista with a warm smile.",True,0,"5,2",True,29
90," Inside, he met Emilie, a charming barista with a bright smile.",True,0,"5,2",True,30
91," That's where he met Emilie, the charming barista with a bright smile and sparkling eyes.",True,0,"5,2",True,31
92," Inside, he was greeted by Emilie, a charming barista with a bright smile.",True,0,"5,2",True,32
93," Inside, he met Emilie, a charming barista with a bright smile.",True,0,"5,2",True,33
94," That's where he met Emilie, the charming barista with bright green eyes and a warm smile.

",False,,,,34
95," Inside, he was greeted by Emilie, a charming barista with a bright smile.",True,0,"5,2",True,35
96," That's where he met Emilie, the charming barista with a bright smile and infectious laugh.",True,0,"5,2",True,36
97," Inside, he spotted Emilie, a charming barista with bright eyes and a warm smile.",True,0,"5,2",True,37
98," Inside, he met Emilie, a charming barista with a bright smile and sparkling eyes.",True,0,"5,2",True,38
99," Inside, he was greeted by the charming smile of Emilie, the barista.",True,0,"5,2",True,39
