total_sentences,candidate_text,passed_margin_test,candidate_text_lsh,accept_mask,one_sentence,current_num_tries
1,"

As I walked into the office, I noticed my boss, Emma, looking frazzled and overwhelmed.",True,1,"1,4",True,1
2," She had a meeting with a potential new client in an hour, and her presentation was still not ready.

""",False,,,,1
3," Her desk was covered in papers, notes, and files, and she seemed to be staring blankly at her computer screen.",True,3,"6,2",True,2
4," She was frantically typing away on her computer, while simultaneously talking to someone on the phone and trying to juggle multiple papers in her hand.

",True,3,"6,2",True,3
5," She was juggling multiple phone calls, typing away on her computer, and simultaneously trying to meet a looming deadline.",True,3,"6,2",True,4
6," She was juggling multiple tasks at once, trying to meet the looming deadline for a big project.

""",True,3,"6,2",True,5
7," She had a meeting with a potential new client in an hour and was still frantically searching for some crucial documents.

""",True,3,"6,2",True,6
8," She was trying to juggle multiple tasks at once, her phone ringing off the hook as she tried to meet an impending deadline.

",True,3,"6,2",True,7
9, She was staring at her computer screen with a mixture of confusion and frustration etched on her face.,True,3,"6,2",True,8
10," She was juggling multiple tasks at once, trying to meet an impending deadline for a major project.",True,3,"6,2",True,9
11," She had a mountain of papers on her desk and a look of desperation in her eyes.

""",True,3,"6,2",True,10
12," She had a meeting with a potential client in an hour, but was struggling to finish her presentation.

""",True,1,"6,2",True,11
13," She was juggling multiple projects at once, and it seemed like she was drowning in paperwork.",True,3,"6,2",True,12
14," Her desk was cluttered with papers, files, and coffee cups, and her hair was tied up in a hasty bun.

""",True,6,"6,2",True,13
15,"Good morning,"" she said, not even looking up from her computer screen. """,False,,,,1
16,"Morning, Emma,"" I said, giving her a sympathetic smile. """,True,3,"0,3",True,2
17,"Tough day ahead?""

",True,1,"6,0",True,1
18,"Tough day already?""

",True,0,"6,0",True,2
19,"She let out a deep sigh and rubbed her temples. """,True,3,"5,2",True,1
20,"Emma sighed and rubbed her temples. """,True,3,"5,2",True,2
21,"She let out a deep sigh. """,True,1,"5,2",True,3
22,"Emma let out a deep sigh. """,True,1,"5,2",True,4
23,"She let out a deep sigh. """,True,1,"5,2",True,5
24,"She let out a deep sigh. """,True,1,"5,2",True,6
25,"She let out a deep sigh and rubbed her temples. """,True,3,"5,2",True,7
26,"She let out a deep sigh. """,True,1,"5,2",True,8
27,"She let out a deep sigh. """,True,1,"5,2",True,9
28,"She let out a deep sigh. """,True,1,"5,2",True,10
29,"She sighed and rubbed her temples. """,True,3,"5,2",True,11
30,"She sighed and rubbed her temples. """,True,3,"5,2",True,12
31,"She let out a deep sigh and rubbed her temples. """,True,3,"5,2",True,13
32,"She sighed, rubbing her temples. """,True,3,"5,2",True,14
33,"She let out a deep sigh. """,True,1,"5,2",True,15
34,"Emma rubbed her temples. """,True,3,"5,2",True,16
35,"Emma sighed, rubbing her temples. """,True,3,"5,2",True,17
36,"She sighed and rubbed her temples. """,True,3,"5,2",True,18
37,"Emma sighed and rubbed her temples. """,True,3,"5,2",True,19
38,"Emma sighed, rubbing her temples. """,True,3,"5,2",True,20
39,"Emma sighed and rubbed her temples. """,True,3,"5,2",True,21
40,"She let out a sigh and rubbed her temples. """,True,3,"5,2",True,22
41,"She let out a deep sigh. """,True,1,"5,2",True,23
42,"She sighed, rubbing her temples. """,True,3,"5,2",True,24
43,"Emma let out a deep sigh. """,True,1,"5,2",True,25
44,"She rubbed her temples, eyes closed. """,True,3,"5,2",True,26
45,"She let out a deep sigh. """,True,1,"5,2",True,27
46,"Emma sighed and rubbed her temples. """,True,3,"5,2",True,28
47,"Emma let out a deep sigh. """,True,1,"5,2",True,29
48,"She let out a deep sigh. """,True,1,"5,2",True,30
49,"She sighed and rubbed her temples. """,True,3,"5,2",True,31
50,"She let out a deep sigh. """,True,1,"5,2",True,32
51,"Emma sighed and rubbed her temples. """,True,3,"5,2",True,33
52,"She let out a deep sigh. """,True,1,"5,2",True,34
53,"She sighed and rubbed her temples. """,True,3,"5,2",True,35
54,"Emma let out a deep sigh and rubbed her temples. """,True,3,"5,2",True,36
55,"She sighed, rubbing her temples. """,True,3,"5,2",True,37
56,"Emma let out a deep sigh. """,True,1,"5,2",True,38
57,"Emma rubbed her temples. """,True,3,"5,2",True,39
58,"She sighed and rubbed her temples. """,True,3,"5,2",True,40
59,"She let out a deep sigh. """,True,1,"5,2",True,41
60,"She sighed and rubbed her temples. """,True,3,"5,2",True,42
61,"Emma sighed and rubbed her temples. """,True,3,"5,2",True,43
62,"She let out a deep sigh and rubbed her temples. """,True,3,"5,2",True,44
63,"She let out a deep sigh and rubbed her temples. """,True,3,"5,2",True,45
64,"Emma let out a deep sigh. """,True,1,"5,2",True,46
65,"Emma sighed and rubbed her temples. """,True,3,"5,2",True,47
66,"Emma sighed and rubbed her temples. """,True,3,"5,2",True,48
67,"She let out a deep sigh. """,True,1,"5,2",True,49
68,"She sighed and rubbed her temples. """,True,3,"5,2",True,50
69,"I have so much to do before the meeting at 2 PM, but I just can't seem to focus.",False,,,,1
70,"I have a meeting with a potential new client in an hour, and I still need to finalize the presentation.",True,4,"6,0",True,2
71,"I've got a meeting with a potential client in an hour, but I'm still waiting on the marketing team to finalize the presentation.",True,4,"6,0",True,3
72,"I have a meeting in an hour to present our quarterly reports to the board of directors, but I still need to finalize the slides and rehearse my presentation.",True,4,"6,0",True,4
73,"I've got a meeting with a potential client in an hour, and I still need to finish this proposal.",True,5,"6,0",True,5
74,"I have so much to do today, but I just can't seem to get organized.",True,6,"6,0",True,6
75," This project is due soon, and I'm running out of time.""

",True,5,"0,3",True,1
76," This project is due soon, and I'm still waiting on feedback from the team.""

",True,5,"0,3",True,2
77," Meetings, reports, deadlines... it's all just a jumbled mess in my head.""

",True,4,"0,3",True,3
78," Meetings all morning, reports due by end of day...I'm starting to feel like I'm drowning.""

",True,7,"0,3",True,4
79," The Smith account is due soon, and I still need to finish the presentation for the Johnson meeting.""

",True,7,"0,3",True,5
80," This project is due by the end of the week, and I'm still trying to coordinate with the design team.""

",True,7,"0,3",True,6
81," This project is due by the end of the week and I'm still waiting on feedback from the team.""

",True,5,"0,3",True,7
82," We're launching a new marketing campaign next week, and I'm still trying to finalize the details.""

",True,5,"0,3",True,8
83," We're launching a new marketing campaign tomorrow and I still need to finalize the details.""

",True,1,"0,3",True,9
84, We're short-staffed and I'm trying to cover for everyone.,True,7,"0,3",True,10
85," We've got a big meeting at 2 PM and I still need to finish preparing my presentation.""

",True,4,"0,3",True,11
86," The Johnson account is due by end of day, and I still need to finish writing that report.""

",True,7,"0,3",True,12
87," The Thompson project is due tomorrow and I'm still waiting for feedback from the design team.""

",True,4,"0,3",True,13
88," We're having a big meeting this afternoon and I still need to finish the presentation slides.""

",False,,,,14
89," We're launching a new marketing campaign next week and I'm still waiting on feedback from the design team.""

",False,,,,15
90," This project is due soon, and I'm still missing some crucial information.""

",True,5,"0,3",True,16
91," I'm starting to feel like I'm drowning in paperwork.""

",True,3,"0,3",True,17
92,"I nodded understandingly and took charge. """,True,1,"6,0",True,1
93,I nodded understandingly.,True,1,"6,0",True,2
94,I nodded understandingly.,True,1,"6,0",True,3
95,"I quickly sprang into action, using my skills as a helpful assistant to take some of the burden off her shoulders.",True,7,"6,0",True,4
96,I nodded understandingly.,True,1,"6,0",True,5
97,I nodded understandingly and got to work.,False,,,,6
98,I nodded knowingly.,True,1,"6,0",True,7
99,"I nodded understandingly. """,False,,,,8
100,"Without hesitation, I stepped forward and began helping her sort through the chaos on her desk.",True,2,"6,0",True,9
101,"Without hesitation, I rolled up my sleeves and got to work.",True,2,"6,0",True,10
102,I nodded understandingly.,True,1,"6,0",True,11
103,"Without hesitation, I took charge. """,True,1,"6,0",True,12
104,"Without hesitation, I sprang into action.",True,2,"6,0",True,13
105,"Without hesitation, I rolled up my sleeves and got to work.",True,2,"6,0",True,14
106,"Without hesitation, I stepped forward to help. """,True,1,"6,0",True,15
107,"Without hesitation, I stepped forward and began clearing off her desk, sorting documents into neat piles and tossing out the trash.",True,2,"6,0",True,16
108,"I quickly assessed the situation and sprang into action. """,True,6,"6,0",True,17
109,"Let me help you sort this out,"" I said, gently taking a stack of papers from her desk. """,True,7,"0,3",True,1
110,"Let me take care of that for you,"" I said, gently taking the stack of papers from her hands.

",True,7,"0,3",True,2
111,"Let me help you sort this out,"" I said, rolling up my sleeves. """,True,7,"0,3",True,3
112,"Let me take care of this for you,"" I offered, gently taking over the sorting process. """,False,,,,4
113,"Let me help you get sorted out,"" I offered, gently taking some of the files from her desk. """,False,,,,5
114,"Let me help you sort things out,"" I offered, gently taking control of her calendar and to-do list.",True,7,"0,3",True,6
115,"Let me help you prioritize,"" I suggested, gently taking charge of the mess on her desk.",True,7,"0,3",True,7
116,"Don't worry, let me help you tackle that pile.""",True,3,"0,3",True,8
117," I began sorting through the documents, categorizing them by priority and date, while simultaneously tidying up her workspace.

",True,3,"6,0",True,1
118," I began sorting through the documents, categorizing them by priority and setting aside anything that didn't require immediate attention.

",True,7,"6,0",True,2
119, I started by sorting through the papers and categorizing them into labeled folders.,True,7,"6,0",True,3
